,ARSON,BURGLARY,COUNTY,FAMILY,GANG,INSTITUTIONAL,MULT_VICTIMS,RAPE,ROBBERY,SNIPER,YEAR
0,0,2,37,28,0,1,9,0,10,0,2015
1,0,2,37,24,0,0,8,0,5,0,2014
2,2,2,37,28,0,0,8,0,2,0,2013
3,1,0,37,27,1,0,18,1,9,0,2012
4,0,0,37,28,0,2,12,0,4,0,2011
5,0,0,37,25,0,2,11,0,3,0,2010
6,0,1,37,39,0,0,14,0,10,0,2009
7,0,0,37,29,0,0,7,1,11,0,2008
8,0,0,37,21,0,0,11,1,15,0,2007
9,1,2,37,26,0,0,42,0,30,0,2006
10,1,3, ,104,60,1,138,3,77,0,2015
11,1,2, ,108,57,2,83,0,100,0,2014
12,0,1, ,106,23,4,108,0,70,1,2013
13,1,3, ,97,37,2,97,0,73,0,2012
14,0,4, ,127,24,1,66,0,124,1,2011
15,1,7, ,121,50,1,117,1,115,0,2010
16,0,5, ,101,49,1,102,0,87,1,2009
17,0,0, ,109,34,4,91,0,123,0,2008
18,0,8, ,80,3,2,76,0,97,0,2007
19,0,0, ,91,3,0,96,0,116,0,2006
20,0,11,2,55,9,0,32,0,18,0,2015
21,1,10,2,50,15,0,40,2,37,0,2014
22,0,3,2,49,2,0,48,0,15,0,2013
23,2,3,2,48,7,0,29,0,31,0,2012
24,1,3,2,38,4,1,38,0,36,0,2011
25,0,2,2,58,3,0,30,1,37,0,2010
26,0,15,2,54,5,9,48,0,42,0,2009
27,0,3,2,54,0,5,41,0,33,0,2008
28,1,2,2,55,8,2,36,0,51,0,2007
29,3,1,2,57,1,7,48,0,31,0,2006
30,0,0,3,28,0,1,18,0,14,0,2015
31,0,1,3,22,0,0,14,0,2,0,2014
32,1,2,3,29,7,0,13,0,8,0,2013
33,0,1,3,17,0,0,15,0,7,0,2012
34,0,1,3,23,0,0,21,1,2,0,2011
35,0,3,3,25,1,0,16,0,4,0,2010
36,0,0,3,22,1,0,20,0,16,0,2009
37,0,0,3,28,0,0,11,0,9,0,2008
38,0,3,3,23,0,0,12,0,6,0,2007
39,0,4,3,32,0,2,16,0,11,0,2006
40,1,0,4,17,0,0,14,1,5,0,2015
41,0,3,4,15,0,0,13,0,2,0,2014
42,0,0,4,17,1,0,18,0,9,0,2013
43,0,5,4,18,2,0,24,2,3,0,2012
44,0,1,4,23,0,0,14,0,10,0,2011
45,0,0,4,21,1,0,14,0,13,0,2010
46,0,3,4,24,1,0,14,0,14,0,2009
47,0,1,4,27,1,0,8,0,14,0,2008
48,0,0,4,14,0,0,7,1,7,0,2007
49,0,0,4,18,0,0,12,0,6,0,2006
50,1,0,5,17,1,0,12,0,5,0,2015
51,0,1,5,13,1,0,7,0,6,0,2014
52,0,2,5,14,2,0,4,0,4,0,2013
53,0,0,5,14,1,0,11,0,10,0,2012
54,0,0,5,18,0,0,11,0,4,0,2011
55,0,0,5,14,1,0,8,0,8,0,2010
56,0,0,5,12,1,0,10,0,10,0,2009
57,0,1,5,7,0,0,15,0,7,0,2008
58,0,0,5,10,2,0,4,1,6,1,2007
59,0,0,5,12,0,0,4,0,4,0,2006
60,0,4,7,55,8,0,40,0,15,1,2015
61,1,11,7,47,4,2,32,1,22,0,2014
62,0,4,7,43,3,2,44,0,44,0,2013
63,1,2,7,53,2,0,27,0,28,1,2012
64,2,3,7,56,4,0,49,1,25,0,2011
65,1,1,7,58,1,0,47,0,34,0,2010
66,1,4,7,54,8,1,52,0,31,0,2009
67,7,11,7,50,5,0,41,0,26,0,2008
68,1,1,7,62,5,0,62,0,53,0,2007
69,0,1,7,39,7,1,59,1,68,0,2006
70,0,7,8,17,0,0,6,0,1,0,2015
71,0,0,8,13,0,0,7,0,5,0,2014
72,0,0,8,12,0,1,7,0,5,0,2013
73,0,0,8,17,1,0,9,0,3,0,2012
74,0,0,8,11,0,0,5,0,6,0,2011
75,0,0,8,15,1,1,11,0,0,0,2010
76,0,2,8,16,0,0,12,0,9,0,2009
77,1,5,8,9,0,0,9,1,1,0,2008
78,0,2,8,18,0,0,11,0,7,0,2007
79,0,2,8,25,0,0,8,0,12,0,2006
80,0,0,9,19,0,0,8,1,5,0,2015
81,0,0,9,20,0,0,10,0,7,0,2014
82,0,2,9,17,4,0,16,0,9,0,2013
83,0,1,9,15,7,0,10,0,16,0,2012
84,0,2,9,26,0,0,13,0,6,0,2011
85,1,0,9,26,4,0,15,0,18,0,2010
86,0,2,9,13,2,0,17,0,20,0,2009
87,0,0,9,18,11,0,15,0,26,0,2008
88,1,0,9,20,0,0,17,0,12,0,2007
89,0,0,9,32,3,0,20,1,19,0,2006
90,0,2,10,38,3,0,19,0,9,0,2015
91,0,3,10,21,5,1,31,0,10,0,2014
92,0,1,10,25,13,2,27,0,2,0,2013
93,0,0,10,28,4,1,25,0,8,0,2012
94,1,2,10,27,21,0,16,0,7,0,2011
95,0,2,10,23,3,0,25,0,17,0,2010
96,0,0,10,26,0,0,22,0,20,0,2009
97,0,2,10,29,0,1,27,5,15,0,2008
98,1,3,10,30,1,0,29,1,10,0,2007
99,0,9,10,30,1,0,25,3,43,0,2006
100,0,2,11,24,4,1,17,0,9,0,2015
101,0,0,11,19,4,1,12,0,6,0,2014
102,0,2,11,21,5,1,12,0,10,0,2013
103,0,0,11,20,0,0,10,0,8,0,2012
104,0,0,11,16,0,0,16,0,10,0,2011
105,0,3,11,16,7,1,13,0,11,0,2010
106,0,2,11,26,7,0,7,0,12,0,2009
107,0,0,11,21,0,0,9,0,15,0,2008
108,1,0,11,13,2,0,11,0,14,0,2007
109,0,0,11,20,2,1,7,0,14,0,2006
110,0,0,13,11,0,0,5,0,4,0,2015
111,0,0,13,15,0,0,11,0,6,0,2014
112,1,0,13,13,5,0,9,0,8,0,2013
113,0,0,13,20,1,1,15,0,7,0,2012
114,0,1,13,22,7,0,24,1,4,0,2011
115,0,0,13,19,5,0,11,0,8,0,2010
116,0,0,13,13,2,0,12,0,0,0,2009
117,0,1,13,15,0,0,14,0,12,0,2008
118,0,0,13,13,1,0,12,0,8,0,2007
119,0,0,13,15,1,0,18,0,7,0,2006
120,0,2,14,24,4,0,11,0,1,0,2015
121,0,6,14,15,0,0,5,0,1,0,2014
122,1,2,14,16,0,0,17,0,2,0,2013
123,0,4,14,15,1,0,4,0,7,0,2012
124,0,3,14,23,4,0,22,1,11,0,2011
125,0,0,14,25,3,0,18,0,2,0,2010
126,0,0,14,15,8,0,10,1,6,0,2009
127,0,0,14,12,0,0,5,0,2,0,2008
